gene	deathrate	p.value	q.value	SD	low-confidence interval	upper-confidence interval	tag
POG1	-0.012182215	0.002991802	0.016239885	0.002264606	-0.01800357	-0.006360859	up
ICL2	-0.01146951	0.004721002	0.019829823	0.002370451	-0.017562948	-0.005376073	up
POG1	-0.008832097	0.000758577	0.010103901	0.001211014	-0.011945107	-0.005719086	down
KRE27	-0.008268829	0.001211114	0.012097294	0.001255324	-0.011495743	-0.005041915	up
YIL024C	-0.007069138	0.00862218	0.026427367	0.001689594	-0.011412376	-0.002725899	up
GAL1	-0.006027872	0.000140344	0.006073812	0.000578534	-0.00751504	-0.004540703	down
CNN1	-0.005296362	0.231047111	0.167826397	0.003885749	-0.015284997	0.004692272	up
OGG1	-0.005255935	0.197395128	0.150845864	0.003536729	-0.014347386	0.003835516	up
MMS2	-0.005048698	0.100172825	0.09907458	0.002507181	-0.011493612	0.001396216	up
BUD8	-0.005045068	0.207825871	0.155691202	0.003489123	-0.014014144	0.003924008	up
SIR3	-0.004754621	0.002577786	0.015648808	0.00085433	-0.006950747	-0.002558495	down
PDR12	-0.004742991	0.103134547	0.100531003	0.002382364	-0.010867054	0.001381071	down
SIR2	-0.004623358	0.006408663	0.023262587	0.001027766	-0.007265316	-0.001981401	up
YDL041W	-0.004595007	0.00285789	0.016183765	0.000845284	-0.006767879	-0.002422134	down
PDR1	-0.004579587	0.277770089	0.186957255	0.003761792	-0.014249581	0.005090406	up
YIL024C	-0.004507297	0.002403119	0.015128929	0.000797105	-0.006556321	-0.002458272	down
FPR1	-0.004423335	0.000155769	0.006073812	0.000433846	-0.005538572	-0.003308097	up
BNA2	-0.004410169	0.056095614	0.070146094	0.001780957	-0.008988265	0.000167928	down
CSR2	-0.004405849	0.001924508	0.014331891	0.000741168	-0.006311082	-0.002500615	down
PDR11	-0.004367523	0.01384478	0.033923306	0.001177006	-0.007393114	-0.001341932	up
YAK1	-0.004343614	4.57E-05	0.004289249	0.000330721	-0.005193759	-0.00349347	up
SIR4	-0.004326113	0.008877284	0.026936562	0.001041483	-0.007003331	-0.001648895	down
PDR11	-0.004291422	0.002947438	0.016183765	0.000795027	-0.006335105	-0.00224774	down
MF(ALPHA)2	-0.004275183	0.000714142	0.009764944	0.000578608	-0.005762541	-0.002787824	down
SDS23	-0.004263489	0.401235494	0.237335258	0.00464966	-0.016215821	0.007688842	up
YAK1	-0.004260303	0.000567809	0.008885498	0.000548882	-0.005671249	-0.002849358	down
UBP1	-0.004201809	0.34563114	0.216540367	0.004036871	-0.014578915	0.006175298	down
SIR4	-0.00420024	0.004230531	0.018885036	0.000845998	-0.006374948	-0.002025532	up
SIR3	-0.004187284	0.001415185	0.013243386	0.000657862	-0.005878372	-0.002496195	up
MDS3	-0.004185417	8.39E-05	0.005564594	0.000361151	-0.005113784	-0.003257049	up
MBB1	-0.004138884	0.000293703	0.00651413	0.000463596	-0.005330595	-0.002947174	down
CSR2	-0.00411839	0.002220215	0.014891055	0.000715419	-0.005957433	-0.002279347	up
MF(ALPHA)2	-0.00404202	0.000271159	0.006263801	0.000445198	-0.005186439	-0.002897601	up
YKR045C	-0.004022478	0.001370457	0.012953925	0.000627506	-0.005635532	-0.002409424	down
VPS64	-0.00401448	0.022867298	0.043758189	0.001237806	-0.007196362	-0.000832597	up
BAR1	-0.004013189	0.004891578	0.020104062	0.000836401	-0.006163227	-0.00186315	down
HSP150	-0.003974716	0.000221481	0.006073812	0.000419579	-0.005053277	-0.002896155	down
DFG10	-0.003966593	0.002011567	0.014472897	0.000673925	-0.005698972	-0.002234214	down
YIL086C	-0.003965622	0.002299253	0.014997825	0.00069434	-0.00575048	-0.002180763	down
YKR040C	-0.003964698	0.00112992	0.011448679	0.00059281	-0.005488564	-0.002440832	down
YNL179C	-0.003953867	0.001051491	0.011232942	0.000581965	-0.005449854	-0.002457879	up
CAT2	-0.003934272	0.000447236	0.008145781	0.000481703	-0.005172529	-0.002696015	up
MBB1	-0.003931511	0.000190507	0.006073812	0.000402142	-0.00496525	-0.002897772	up
RXT2	-0.003927994	0.236435489	0.17024177	0.002920644	-0.011435748	0.00357976	up
YIL086C	-0.003903933	0.00291823	0.016183765	0.000721595	-0.005758852	-0.002049014	up
SHM2	-0.003903508	0.022150189	0.04308848	0.001193014	-0.006970248	-0.000836769	down
YIL014C-A	-0.003880439	0.002498662	0.015300374	0.000692336	-0.005660146	-0.002100731	down
GIS4	-0.003861251	0.000607744	0.009197457	0.000504769	-0.005158799	-0.002563702	up
SHM2	-0.003859796	0.045508786	0.062317965	0.001457355	-0.007606047	-0.000113545	up
AIR1	-0.003846015	0.011135394	0.029974528	0.000980086	-0.006365407	-0.001326622	down
GPA1	-0.003836143	0.009740936	0.028286634	0.00094515	-0.006265729	-0.001406558	up
YNL179C	-0.00382425	0.001749095	0.013862047	0.00062974	-0.005443048	-0.002205452	down
ASN1	-0.003756459	0.386254265	0.231734128	0.003958832	-0.01393296	0.006420041	down
KRE11	-0.003753056	0.497155744	0.272030632	0.005128807	-0.016937075	0.009430962	up
HSP150	-0.003751519	0.00063879	0.009371507	0.000495697	-0.005025748	-0.002477289	up
MIP6	-0.003728003	0.247855704	0.175195481	0.002850702	-0.011055967	0.003599961	down
NCE102	-0.003716233	0.001990028	0.014472897	0.000629866	-0.005335355	-0.002097112	down
RPL11B	-0.003694024	0.005593277	0.022210998	0.000794792	-0.005737103	-0.001650946	down
VPS64	-0.003688007	0.003142451	0.016669644	0.00069335	-0.00547032	-0.001905694	down
DFG10	-0.003642329	0.00340503	0.017371221	0.000697534	-0.005435398	-0.00184926	up
YMR166C	-0.003613394	5.11E-05	0.004646151	0.000281555	-0.004337155	-0.002889632	up
NCE102	-0.003592489	0.000288495	0.006449412	0.000400881	-0.004622985	-0.002561993	up
IGO2	-0.00357621	0.002665926	0.015884072	0.00064752	-0.005240714	-0.001911707	up
NAT5	-0.003529522	0.277401109	0.186842845	0.00289672	-0.010975777	0.003916733	down
SSN8	-0.003493255	0.013925399	0.034049245	0.000942822	-0.005916856	-0.001069655	down
PHO8	-0.003482572	0.281197063	0.188693664	0.002883844	-0.01089573	0.003930586	down
SKI7	-0.003461104	0.532862865	0.283520082	0.005169922	-0.01675081	0.009828603	up
GAL3	-0.003448303	0.419735785	0.245029403	0.003923922	-0.013535065	0.00663846	up
YKR040C	-0.003447815	0.000465392	0.008145781	0.000425733	-0.004542197	-0.002353432	up
RPS23B	-0.003424932	0.287547551	0.191569781	0.002878656	-0.010824753	0.003974888	down
YJL169W	-0.003419456	0.448212153	0.25515627	0.004157257	-0.014106024	0.007267113	up
YKR045C	-0.003417141	0.000476162	0.008145781	0.000424007	-0.004507085	-0.002327196	up
